sku,cost_price,fully_qualified_name,active,incremental_order_quantity,pack_size,pack_size_qty,stock,weight,weight_units
MERCH-T-SPOONS,0,2019 BSR T-shirt - Spoons,True,1,Each,,"[{'id': 43744, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
APP-CYL-CAP-BLK,0,2019 BSR T-shirt - Spoons:Each,False,1,Each,,"[{'id': 43745, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TU-BEAR,0,2019 BSR T-shirt - Spoons:Women's Medium,False,1,Each,,"[{'id': 43746, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TW-BEAR,0,2019 BSR T-shirt - Spoons:Women's Large,False,1,Each,,"[{'id': 43747, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TW-PNUT,0,2019 BSR T-shirt - Spoons:Women's Large,False,1,Each,,"[{'id': 52091, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
W-TU-PNUT,0,2019 BSR T-shirt - Spoons:Women's Medium,False,1,Each,,"[{'id': 52092, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-S,13.85,2019 BSR T-shirt - Spoons:Women's Small,True,1,Each,,"[{'id': 198286, 'on_hand': '9', 'available': '9', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-M,13.85,2019 BSR T-shirt - Spoons:Women's Medium,True,1,Each,,"[{'id': 198287, 'on_hand': '5', 'available': '5', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-L,13.85,2019 BSR T-shirt - Spoons:Women's Large,True,1,Each,,"[{'id': 198288, 'on_hand': '15', 'available': '15', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-W-XL,13.85,2019 BSR T-shirt - Spoons:Women's XL,True,1,Each,,"[{'id': 198289, 'on_hand': '9', 'available': '9', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-S,14.95,2019 BSR T-shirt - Spoons:Unisex Small,True,1,,,"[{'id': 198290, 'on_hand': '17', 'available': '17', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-M,14.95,2019 BSR T-shirt - Spoons:Unisex Medium,True,1,Each,,"[{'id': 198291, 'on_hand': '8', 'available': '8', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-L,14.95,2019 BSR T-shirt - Spoons:Unisex Large,True,1,Each,,"[{'id': 198292, 'on_hand': '11', 'available': '11', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0.25,lb
MERCH-T-SPOONS-U-XL,14.95,2019 BSR T-shirt - Spoons:Unisex XL,True,1,Each,,"[{'id': 198293, 'on_hand': '8', 'available': '8', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",6,oz
INGREDIENTS,0,INGREDIENTS,True,1,,,"[{'id': 43748, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-VAN-10#-INACTIVE,501,INGREDIENTS:Vanilla Powder (Beanilla) - 10# case,False,1,Each,,"[{'id': 43749, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
L90D-INACTIVE,1141.45,"INGREDIENTS:Frutalose (Inulin) L90, 55 gallon drum",False,1,Each,,"[{'id': 43750, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-ALM-50#-INACTIVE,172.5,"INGREDIENTS:Almond Stock, Mission Dry Roasted - 50# case",False,1,Each,,"[{'id': 43751, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': True, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
RW2160088-INACTIVE,0,"INGREDIENTS:Apricots, Turkish Whole - 28# case",False,1,Each,,"[{'id': 43752, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-ASKINOSIE-MOR-INACTIVE,25,"INGREDIENTS:Chocolate, Askinosie Morsels - by the Kg",False,1,Each,,"[{'id': 43753, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
272230-INACTIVE,0,"INGREDIENTS:Cashew Stock, 25#",False,1,Each,,"[{'id': 43754, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
I-CHAI-NOSUGAR-INACTIVE,14.24,"INGREDIENTS:Chai Spice Mix - No Sugar, by the LB",False,1,Each,,"[{'id': 43755, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
23450-INACTIVE,44.75,"INGREDIENTS:Vietnamese Cinnamon, 25# bag",False,1,Each,,"[{'id': 43756, 'on_hand': '0', 'available': '0', 'committed': '0', 'backorderable': False, 'stock_location_name': 'Big Spoon Roasters Production Facility'}]",0,
